80,"People, handbags, and cell phones",2
81,"A stop sign, horse, and people, perhaps at the corner of two streets",5
82,"People, knife, cakes, and tie, perhaps on a plate",3
83,"A bench, perhaps at a bus stop",2
84,People,5
85,"A giraffe, perhaps at a zoo",4
86,A person and skateboard,4
87,"A pizza, perhaps in the oven",3
88,"Backpacks, bus, and person, perhaps at a bus stop",5
89,"People, surfboard, and stop sign, perhaps at the corner of two streets",3
90,"A umbrella, people, and tennis racket, perhaps in a closet",4
91,"A person and motorcycles, perhaps in a garage",2
92,"People, traffic lights, skateboard, backpack, and bicycle, perhaps at the corner of two streets",5
93,"People, ski, and snowboard, perhaps in the garage",3
94,"A clock, perhaps on a desk",3
95,"A person, sports balls, and baseball glove, perhaps in a school",5
96,"Buses, bicycle, and person, perhaps on the street",4
97,"People, tvs, cup, tie, and chair, perhaps in an apartment",2
98,"Books, clock, and chair, perhaps in a university",5
99,"A clock, perhaps on a desk",1
100,"People and ski, perhaps in the garage",3
101,"A person, cell phone, chair, and cups, perhaps at a water fountain",2
102,"A umbrella, people, and tennis racket, perhaps in a closet",3
103,"A bear and person, perhaps at a park",5
104,"A dog, person, and car, perhaps at a neighbor's house",2
105,"Potted plants, people, parking meters, and backpack, perhaps on the windowsill",5
106,"A person eating a pizza, perhaps in the oven",3
107,"A bear and person, perhaps at a park",5
108,"Chairs, vase, books, dining tables, potted plant, and clock, perhaps on a desk",5
109,"People, ski, and snowboard, perhaps in the garage",3
110,"Chairs, vase, books, dining tables, potted plant, and clock, perhaps on a desk",5
111,"A elephant, perhaps in a circus",4
112,"A person and spoon, perhaps in bowl",2
113,"A fire hydrant, cat, and dog, perhaps on the rug",4
114,"A bench, perhaps at a bus stop",4
115,"People, ski, and snowboard, perhaps in the garage",3
116,"People, sports balls, baseball bat, and baseball gloves, perhaps in a school",5
117,People,5
118,"People, airplanes, chairs, and bicycle, perhaps in the sky",4
119,People,5
120,"people eating a orange, perhaps at a grocery store",2
121,"Buses, bicycle, and person, perhaps on the street",5
122,People,1
123,"People, tennis racket, sports ball, and tie, perhaps in a school",5
124,"People, ski, and snowboard, perhaps in the garage",4
125,"A hot dog, sandwich, and dining table",1
126,"Cars, traffic lights, and truck, perhaps on a freeway",5
127,"Horses, perhaps at a race track",5
128,"Sheep, perhaps on a farm",5
129,"Wine glasses, people, bowls, dining table, knife, and cup",5
130,"A couch with a dog, bottle, cup, books, and people",5
131,"A person eating a pizza, perhaps in the oven",5
132,"A person, bench, car, skateboard, and truck, perhaps on the road",5
133,"Potted plants, people, parking meters, and backpack, perhaps on the windowsill",4
134,"A dog, frisbee, and people, perhaps in a park",5
135,"Suitcases, person, boat, and backpack, perhaps in a movie",4
136,"A cup, dog, books, and person, perhaps on a table",4
137,"Zebras, perhaps at a zoo",4
138,"Couches, chairs, vases, and tv, perhaps at your house",5
139,"A car with an umbrella, handbag and people, perhaps in a parking lot",1
140,"Zebras, perhaps at a zoo",4
141,"Airplanes, car, and truck, perhaps in the sky",3
142,"people eating a orange, perhaps at a grocery store",3
143,"A toilet and sink, perhaps in a house",5
144,"A person and spoon, perhaps in bowl",1
145,"A bear and person, perhaps at a park",5
146,"A bench, perhaps at a bus stop",5
147,"Kites, perhaps in the air",2
